ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,Year,F_TL,M_TL,T_TL,F_00_00,F_01_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_00,M_01_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_00,T_01_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,AZUAY,EC01,2020,459159,422235,881394,7900,31725,40208,38929,39010,39482,38884,36273,32571,28512,24824,21962,19339,16429,13479,10873,8351,10408,7900,31721,40312,40326,40061,40552,39627,35590,29775,23939,19465,16552,14364,12161,9907,7746,5602,6635,15800,63446,80520,79255,79071,80034,78511,71863,62346,52451,44289,38514,33703,28590,23386,18619,13953,17043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,BOLIVAR,EC02,2020,107504,102429,209933,2093,8997,11969,11666,10279,8613,7266,6554,6128,5693,5200,4722,4208,3660,3164,2739,2173,2380,2199,9428,12483,12134,10644,8720,6932,5819,5077,4579,4289,4066,3725,3222,2724,2357,1893,2138,4292,18425,24452,23800,20923,17333,14198,12373,11205,10272,9489,8788,7933,6882,5888,5096,4066,4518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,CAÑAR,EC03,2020,147041,134355,281396,2707,11228,14389,14125,13389,12855,12171,10967,9455,8074,7043,6272,5590,4846,4134,3515,2818,3463,2844,11804,15096,14611,13713,12936,11878,10055,7860,6143,5136,4558,4082,3559,3047,2599,2044,2390,5551,23032,29485,28736,27102,25791,24049,21022,17315,14217,12179,10830,9672,8405,7181,6114,4862,5853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,CARCHI,EC04,2020,94102,92767,186869,1577,6427,8320,8603,8291,7472,6813,6591,6400,6056,5620,5033,4249,3461,2857,2386,1850,2096,1659,6765,8724,8971,8750,7924,7092,6644,6188,5600,5087,4561,3843,3068,2474,2038,1585,1794,3236,13192,17044,17574,17041,15396,13905,13235,12588,11656,10707,9594,8092,6529,5331,4424,3435,3890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,COTOPAXI,EC05,2020,251010,237706,488716,5035,20234,25587,25483,23575,21130,19013,17497,16187,14590,12687,10894,9422,8066,6792,5632,4398,4788,5269,21124,26587,26131,24130,21530,18813,16354,14201,12250,10613,9205,7855,6540,5414,4468,3414,3808,10304,41358,52174,51614,47705,42660,37826,33851,30388,26840,23300,20099,17277,14606,12206,10100,7812,8596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,CHIMBORAZO,EC06,2020,273201,250803,524004,4763,19300,25065,25808,24834,23234,21365,19426,17575,15759,14038,12618,11310,9998,8736,7414,5742,6216,4999,20210,26193,26846,25692,23624,20611,17345,14552,12433,10982,9957,8950,7843,6676,5443,4045,4402,9762,39510,51258,52654,50526,46858,41976,36771,32127,28192,25020,22575,20260,17841,15412,12857,9787,10618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,EL ORO,EC07,2020,354069,361682,715751,6083,24402,31506,32536,31804,29843,27872,26503,25272,23344,20784,18175,15538,12727,9940,7393,5083,5264,6381,25578,33058,34282,33669,31530,29150,27239,25333,22816,20297,18006,15524,12647,9693,6991,4644,4844,12464,49980,64564,66818,65473,61373,57022,53742,50605,46160,41081,36181,31062,25374,19633,14384,9727,10108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,ESMERALDAS,EC08,2020,318952,324702,643654,7018,28418,36313,36025,32225,27430,23884,21861,20148,17732,15107,12967,11091,9130,7109,5278,3657,3559,7368,29872,38262,38259,34845,29205,23858,20517,18500,16531,14596,12980,11424,9577,7410,5247,3356,2895,14386,58290,74575,74284,67070,56635,47742,42378,38648,34263,29703,25947,22515,18707,14519,10525,7013,6454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,GUAYAS,EC09,2020,2215071,2172363,4387434,38862,155316,196269,198005,192779,185133,174869,164586,157087,146931,131676,116182,101301,83893,64488,45996,30267,31431,40666,162291,204794,206760,200419,188138,173493,161252,151579,139198,123691,108157,92875,75723,56892,38988,24154,23293,79528,317607,401063,404765,393198,373271,348362,325838,308666,286129,255367,224339,194176,159616,121380,84984,54421,54724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,IMBABURA,EC10,2020,244051,232206,476257,4371,17365,21829,22467,22569,20924,18919,17508,16354,14958,13472,12017,10354,8540,7045,5846,4485,5028,4592,18250,22942,23573,23471,21523,18923,16581,14545,12736,11368,10199,8790,7202,5784,4578,3392,3757,8963,35615,44771,46040,46040,42447,37842,34089,30899,27694,24840,22216,19144,15742,12829,10424,7877,8785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,LOJA,EC11,2020,264335,256819,521154,4838,19348,24392,24694,24299,22593,20282,18372,16834,15113,13408,12178,11127,9823,8364,6920,5377,6373,5085,20352,25664,25863,25455,23675,20749,17746,15193,13016,11423,10436,9623,8573,7302,6001,4661,6002,9923,39700,50056,50557,49754,46268,41031,36118,32027,28129,24831,22614,20750,18396,15666,12921,10038,12375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,LOS RIOS,EC12,2020,454373,467390,921763,9189,36586,46084,46573,43953,39479,35016,31702,29656,27497,24542,21242,17976,14550,11167,8183,5564,5414,9630,38307,48314,48962,46332,41305,35896,31820,29358,27174,24669,21778,18459,14897,11435,8216,5411,5427,18819,74893,94398,95535,90285,80784,70912,63522,59014,54671,49211,43020,36435,29447,22602,16399,10975,10841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,MANABI,EC13,2020,781200,780879,1562079,13947,56499,73170,75306,73231,67434,59926,54471,51289,48233,44158,39118,33540,27878,22190,16489,11362,12959,14630,59316,76886,79571,77643,70211,60160,52939,48804,45363,41810,37630,32447,26717,20865,15140,10094,10653,28577,115815,150056,154877,150874,137645,120086,107410,100093,93596,85968,76748,65987,54595,43055,31629,21456,23612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,MORONA,EC14,2020,95363,101172,196535,2362,9579,12118,11879,10583,8702,7259,6311,5419,4536,3828,3245,2701,2133,1649,1284,933,842,2480,10040,12681,12362,11070,9556,8310,7095,5811,4658,3911,3418,2899,2274,1686,1238,867,816,4842,19619,24799,24241,21653,18258,15569,13406,11230,9194,7739,6663,5600,4407,3335,2522,1800,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,NAPO,EC15,2020,65630,68075,133705,1639,6391,7687,7448,6959,5914,5054,4528,4068,3529,2956,2455,2036,1639,1246,918,622,541,1722,6714,8103,7878,7348,6120,5136,4595,4146,3606,3030,2557,2131,1676,1236,906,630,541,3361,13105,15790,15326,14307,12034,10190,9123,8214,7135,5986,5012,4167,3315,2482,1824,1252,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,PASTAZA,EC16,2020,55881,58321,114202,1302,5123,6226,6035,5803,5144,4470,4015,3656,3211,2653,2143,1756,1408,1075,807,558,496,1357,5341,6526,6368,6167,5752,5178,4415,3616,2985,2536,2115,1719,1389,1080,781,510,486,2659,10464,12752,12403,11970,10896,9648,8430,7272,6196,5189,4258,3475,2797,2155,1588,1068,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,PICHINCHA,EC17,2020,1653014,1575219,3228233,27854,110555,136817,136055,135258,135953,133989,127808,122255,114856,102099,88834,76716,63270,49349,36941,26031,28374,29208,115802,142968,142206,138582,136110,132631,125407,115958,102993,88121,75687,65036,53564,41343,29833,19709,20061,57062,226357,279785,278261,273840,272063,266620,253215,238213,217849,190220,164521,141752,116834,90692,66774,45740,48435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,TUNGURAHUA,EC18,2020,304217,286383,590600,4940,19897,25316,25498,25169,24629,24092,23315,22027,20174,17954,15852,13831,11705,9657,7806,5908,6447,5171,20785,26412,26635,26082,24836,23457,21994,19987,17535,15250,13381,11585,9647,7801,6197,4597,5031,10111,40682,51728,52133,51251,49465,47549,45309,42014,37709,33204,29233,25416,21352,17458,14003,10505,11478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,ZAMORA,EC19,2020,57378,63038,120416,1381,5686,7184,6709,5936,5061,4393,3969,3460,2842,2390,2075,1769,1427,1105,827,594,570,1456,5991,7551,7076,6442,5820,5218,4546,3802,3136,2701,2388,1998,1574,1205,900,619,615,2837,11677,14735,13785,12378,10881,9611,8515,7262,5978,5091,4463,3767,3001,2310,1727,1213,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,GALAPAGOS,EC20,2020,16086,16956,33042,304,1264,1601,1446,1269,1233,1282,1334,1257,1100,989,889,716,516,352,232,152,150,327,1346,1711,1591,1425,1289,1286,1335,1293,1165,1038,907,753,561,387,244,146,152,631,2610,3312,3037,2694,2522,2568,2669,2550,2265,2027,1796,1469,1077,739,476,298,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,SUCUMBIOS,EC21,2020,109526,120977,230503,2413,9711,12132,11856,11120,10054,9164,8483,7573,6412,5303,4345,3423,2540,1862,1380,960,795,2545,10298,12919,12581,11899,10741,9695,9012,8253,7261,6290,5426,4511,3442,2411,1648,1104,941,4958,20009,25051,24437,23019,20795,18859,17495,15826,13673,11593,9771,7934,5982,4273,3028,2064,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,ORELLANA,EC22,2020,75718,85620,161338,1857,7625,10033,9762,7682,6411,5619,5282,4790,4040,3293,2679,2117,1571,1128,809,567,453,1964,8175,10885,10545,8448,7355,6597,6008,5396,4740,4059,3372,2672,1998,1364,881,597,564,3821,15800,20918,20307,16130,13766,12216,11290,10186,8780,7352,6051,4789,3569,2492,1690,1164,1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,SANTO DOMINGO,EC23,2020,230723,227857,458580,4572,17905,22155,22719,22192,20255,18659,17771,16669,14699,12479,10595,8869,7042,5278,3805,2599,2460,4790,18724,23022,23230,22772,20340,17958,16552,15251,13364,11451,9914,8513,6969,5399,4028,2813,2767,9362,36629,45177,45949,44964,40595,36617,34323,31920,28063,23930,20509,17382,14011,10677,7833,5412,5227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,SANTA ELENA,EC24,2020,197082,204096,401178,4341,17193,21176,20204,18224,16519,15078,13892,12971,11782,10304,8839,7456,6060,4688,3410,2329,2616,4556,18052,22154,21179,19263,17425,15903,14580,13334,11933,10499,9028,7515,6010,4593,3320,2232,2520,8897,35245,43330,41383,37487,33944,30981,28472,26305,23715,20803,17867,14971,12070,9281,6730,4561,5136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,EC,ZONA NO DELIMITADA,EC90,2020,20020,21887,41907,477,1880,2278,2159,2121,1932,1585,1299,1168,1079,949,800,652,517,396,306,215,207,516,2036,2464,2381,2322,2115,1737,1401,1215,1089,999,884,753,609,476,365,263,262,993,3916,4742,4540,4443,4047,3322,2700,2383,2168,1948,1684,1405,1126,872,671,478,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
